asn=713  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 2
asn=713  	id=2   	RPL	DIO input from 1
asn=767  	id=3   	Node	scanning on channel=20...
asn=826  	id=3   	Node	scanning on channel=26...
asn=944  	id=3   	Node	scanning on channel=20...
asn=1072 	id=3   	RPL	DIS output to -1
asn=1121 	id=3   	Node	scanning on channel=26...
asn=1180 	id=3   	Node	scanning on channel=15...
asn=1192 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=1192 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 2
asn=1192 	id=3   	Node	add neighbor id=1
asn=1192 	id=3   	TSCH	joined/associated at 20.312 on receiving an EB packet from 1
asn=1192 	id=3   	TSCH	Orchestra: new time source 1
asn=1192 	id=3   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1192 	id=3   	RPL	DIS output to -1
asn=1209 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=1209 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1209 	id=1   	Node	add neighbor id=3
asn=1209 	id=1   	RPL	received a DIS from 3
asn=1223 	id=2   	RPL	DIO output to -1
asn=1240 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=1240 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 2
asn=1240 	id=1   	RPL	DIO input from 2
asn=1240 	id=3   	Node	add neighbor id=2
asn=1240 	id=3   	RPL	DIO input from 2
asn=1240 	id=3   	RPL	DIO output to 2
asn=1271 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1271 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=1271 	id=2   	Node	add neighbor id=3
asn=1271 	id=2   	RPL	DIO input from 3
asn=1271 	id=3   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=1271 	id=3   	RPL	DIO output to 2
asn=1302 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1302 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=1302 	id=2   	RPL	DIO input from 3
asn=1302 	id=3   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=1302 	id=3   	RPL	DIO output to 2
asn=1333 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1333 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=1333 	id=2   	RPL	DIO input from 3
asn=1333 	id=3   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=1333 	id=3   	RPL	DIO output to 2
asn=1364 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1364 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=1364 	id=2   	RPL	DIO input from 3
asn=1364 	id=3   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=1364 	id=3   	RPL	parent switch: null -> 2
asn=1364 	id=3   	Node	add the default route via 2
asn=1364 	id=3   	TSCH	Orchestra: new time source 2
asn=1364 	id=3   	TSCH	Orchestra: storing mode: remove uc cell to 1, timeslot=1
asn=1364 	id=3   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=1402 	id=1   	RPL	DIO output to -1
asn=1426 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=1426 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 8
asn=1426 	id=2   	RPL	DIO input from 1
asn=1426 	id=3   	RPL	DIO input from 1
asn=1491 	id=3   	RPL	DAO output
asn=1498 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1498 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 2
asn=1498 	id=2   	RPL	DAO input from 3
asn=1498 	id=2   	Node	add route to 3 via 3
asn=1498 	id=2   	TSCH	Orchestra: child added 3
asn=1498 	id=2   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=1498 	id=2   	RPL	DAO ACK output 241 0
asn=1498 	id=3   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=1498 	id=3   	TSCH	Orchestra: parent acked a DAO
asn=1499 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1499 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 3
asn=1499 	id=3   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=1499 	id=2   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=1514 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1514 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 3
asn=1514 	id=1   	RPL	DAO input from 2
asn=1514 	id=1   	Node	add route to 3 via 2
asn=1514 	id=1   	RPL	DAO ACK output 241 0
asn=1514 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=1514 	id=2   	TSCH	Orchestra: parent acked a DAO
asn=1515 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=1515 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 8
asn=1515 	id=2   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=1515 	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=1589 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=1589 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 8
asn=1648 	id=3   	RPL	DIO output to -1
asn=1674 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=1674 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 2
asn=1674 	id=1   	RPL	DIO input from 3
asn=1674 	id=2   	RPL	DIO input from 3
asn=1958 	id=1   	RPL	DIO output to -1
asn=1984 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=1984 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=1984 	id=2   	RPL	DIO input from 1
asn=1984 	id=3   	RPL	DIO input from 1
asn=1986 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=1986 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=1988 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=1988 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 3
asn=2117 	id=3   	RPL	DIO output to -1
asn=2139 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=2139 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 3
asn=2139 	id=1   	RPL	DIO input from 3
asn=2139 	id=2   	RPL	DIO input from 3
asn=2343 	id=2   	RPL	DIO output to -1
asn=2356 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=2356 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=2356 	id=1   	RPL	DIO input from 2
asn=2356 	id=3   	RPL	DIO input from 2
asn=2383 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=2383 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 11
asn=2780 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=2780 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 11
asn=2782 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=2782 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=3078 	id=1   	RPL	DIO output to -1
