asn=477  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=477  	id=1   	RPL	DAO input from 2
asn=477  	id=1   	Node	add route to 2 via 2
asn=477  	id=1   	TSCH	Orchestra: child added 2
asn=477  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=477  	id=1   	RPL	DAO ACK output 241 0
asn=477  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=477  	id=2   	TSCH	Orchestra: parent acked a DAO
asn=478  	id=3   	RPL	DAO output
asn=478  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=478  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=478  	id=2   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=478  	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=494  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=494  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 1
asn=494  	id=1   	RPL	DAO input from 3
asn=494  	id=1   	Node	add route to 3 via 3
asn=494  	id=1   	TSCH	Orchestra: child added 3
asn=494  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=494  	id=1   	RPL	DAO ACK output 241 0
asn=494  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=494  	id=3   	TSCH	Orchestra: parent acked a DAO
asn=496  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=496  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=496  	id=3   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=496  	id=1   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=740  	id=1   	RPL	DIO output to -1
asn=744  	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=744  	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=744  	id=2   	RPL	DIO input from 1
asn=744  	id=3   	RPL	DIO input from 1
asn=1192 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=1192 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1589 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=1589 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1970 	id=1   	RPL	DIO output to -1
asn=1984 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=1984 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=1984 	id=2   	RPL	DIO input from 1
asn=1984 	id=3   	RPL	DIO input from 1
asn=2383 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=2383 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=2780 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=2780 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=3522 	id=-1  	Main	60 seconds, progress 10.00%
asn=3522 	id=-1  	Main	periodic route processing for all nodes
asn=3522 	id=1   	TSCH	chloe stats: {"idle_listen":303,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":6,"tx_data":8,"tx_data_rx_ack":2}
asn=3522 	id=2   	TSCH	chloe stats: {"idle_listen":315,"channel_scan":1,"rx_data":4,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":5}
asn=3522 	id=3   	TSCH	chloe stats: {"idle_listen":315,"channel_scan":1,"rx_data":3,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":5}
asn=3574 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=3574 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=4322 	id=1   	RPL	DIO output to -1
asn=4340 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=4340 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=4340 	id=2   	RPL	DIO input from 1
asn=4340 	id=3   	RPL	DIO input from 1
asn=4368 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 7
asn=4368 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=5162 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 8
asn=5162 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=5956 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 9
asn=5956 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=6015 	id=2   	App	generate a packet, seqnum=1 for=1
asn=6019 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=6019 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=6019 	id=1   	App	rx app packet seqnum=1 from=2
asn=6019 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=6449 	id=3   	App	generate a packet, seqnum=1 for=1
asn=6458 	id=3   	App	generate a packet, seqnum=2 for=1
asn=6461 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=6461 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=6461 	id=1   	App	rx app packet seqnum=1 from=3
asn=6461 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=6478 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=6478 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=6478 	id=1   	App	rx app packet seqnum=2 from=3
asn=6478 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=6727 	id=2   	App	generate a packet, seqnum=2 for=1
asn=6733 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=6733 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=6733 	id=1   	App	rx app packet seqnum=2 from=2
asn=6733 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=6750 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 10
asn=6750 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=7043 	id=-1  	Main	120 seconds, progress 20.00%
asn=7043 	id=-1  	Main	periodic route processing for all nodes
