asn=0    	id=-1  	Main	copying configuration file /home/bae/Documents/tsch-sim/examples/star/config.json to output directory /home/bae/Documents/tsch-sim/results/2021-05-16_21-25-20/config.json
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Main	creating 1 "root" nodes...
asn=0    	id=-1  	Main	creating 2 "leaf" nodes...
asn=0    	id=-1  	Main	generating a star network with 3 nodes
asn=0    	id=1   	Main	Set position x=0.00 y=0.00
asn=0    	id=2   	Main	Set position x=0.00 y=0.00
asn=0    	id=3   	Main	Set position x=0.00 y=0.00
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=0.000001 warmup=100
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=0.000001 warmup=100
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=0    	id=2   	Node	scanning on channel=25...
asn=0    	id=3   	TSCH	Orchestra: *** initializing
asn=0    	id=3   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	Node	scanning on channel=25...
asn=1    	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
